Epoch,Train_CLS_Loss,Train_SAC_Loss,Test_Accuracy,Test_Loss,Conf_Threshold,Epoch_Time_s,Cumulative_Time_s
1,0.9579011177824389,0.21057411854065233,68.4,1.2256223840845957,0.8,55.69831132888794,55.69831132888794
2,0.22867531167163002,0.14797398371381626,64.15,1.49040521468435,0.8051724137931034,57.478283166885376,113.17659449577332
3,0.11541808336492508,0.07724004660943343,63.8,1.675804830259747,0.810344827586207,54.59996199607849,167.7765564918518
4,0.0860136198630977,0.036484547770552093,61.4,1.7910108310835702,0.8155172413793104,52.778037309646606,220.5545938014984
5,0.09703564663387594,0.0295137585471234,66.95,1.6640720949286507,0.8206896551724139,51.58179521560669,272.1363890171051
6,0.07791109741364996,0.029618863707348224,66.3,1.7921012308862474,0.8258620689655173,52.26362442970276,324.40001344680786
7,0.04844918198913576,0.014101546317819626,62.75,1.6311541663275824,0.8310344827586207,50.98381471633911,375.383828163147
8,0.057530911323884805,0.026995888160121058,60.8,2.0363965725141857,0.8362068965517242,51.010618448257446,426.3944466114044
9,0.11358156615507699,0.0576223808100387,61.6,1.9831966426637437,0.8413793103448276,51.380319356918335,477.77476596832275
10,0.08009088318794966,0.032013988362685326,55.6,2.0684702822140286,0.846551724137931,51.169111013412476,528.9438769817352
11,0.03931415135852031,0.01568690555230264,69.25,1.493813585667383,0.8517241379310345,51.32478642463684,580.2686634063721
12,0.046903752742500436,0.020670364145189524,66.75,1.4342652341676136,0.8568965517241379,52.10973000526428,632.3783934116364
13,0.030808899544119354,0.022664426180023338,66.2,1.534381888215504,0.8620689655172414,50.947633266448975,683.3260266780853
14,0.038679844804949334,0.010659445918375445,70.35,1.4073168706326258,0.8672413793103448,51.61088013648987,734.9369068145752
15,0.017603580500074333,0.012206380435776326,69.25,1.609166607970283,0.8724137931034482,51.43510627746582,786.372013092041
16,0.050779988686929664,0.010782370253676368,66.75,1.4989639421304066,0.8775862068965518,51.13343644142151,837.5054495334625
17,0.024177784383702543,0.018632059233383305,69.4,1.6540275944603815,0.8827586206896552,50.979968547821045,888.4854180812836
18,0.032096885724909485,0.009643215205400221,66.3,1.6251208602436005,0.8879310344827586,50.75096559524536,939.2363836765289
19,0.022664719456506353,0.04122839656267916,59.25,2.0982271423415533,0.8931034482758621,51.21085047721863,990.4472341537476
20,0.028245236150049154,0.016209913597952937,75.0,1.3185321944100517,0.8982758620689655,50.38806128501892,1040.8352954387665
21,0.026895897797188692,0.017337378715315172,72.55,1.4078093308304984,0.903448275862069,50.76264452934265,1091.5979399681091
22,0.05032060635529624,0.007684085758463029,66.1,1.626264300611284,0.9086206896551724,50.57815170288086,1142.17609167099
23,0.03372685569188287,0.016894200546366554,69.45,1.4942109054989285,0.9137931034482758,50.99382162094116,1193.1699132919312
24,0.019307842009678302,0.011513078044499121,73.9,1.2851202293993935,0.9189655172413793,50.75348877906799,1243.9234020709991
25,0.021215096991997393,0.01361639614427282,70.25,1.4996709861452617,0.9241379310344827,51.01602029800415,1294.9394223690033
26,0.02735248289208093,0.0073623204784047215,67.25,1.5425537654331751,0.9293103448275861,51.116069316864014,1346.0554916858673
27,0.06017066405582873,0.011711932899009797,71.15,1.3101787593156573,0.9344827586206896,50.60720896720886,1396.6627006530762
28,0.035314130571468046,0.027364489382072803,74.6,1.2383070550267659,0.939655172413793,50.96624970436096,1447.6289503574371
29,0.0266033262239709,0.00795471163526658,73.3,1.3442402122512696,0.9448275862068966,50.35832190513611,1497.9872722625732
30,0.03695734510397268,0.012342167146984608,68.6,1.571715754175943,0.95,50.768303871154785,1548.755576133728
