Epoch,Train_CLS_Loss,Train_SAC_Loss,Anchor_Ratio,Consistent_Ratio,Test_Accuracy,Test_Loss,Conf_Threshold,Lambda_SAC,Epoch_Time_s,Cumulative_Time_s
1,0.8000468764934809,0.6247434149826726,0.1280241935483871,0.968503937007874,69.4,1.1880516323320094,0.95,0.0,56.92956066131592,56.92956066131592
2,0.17582370094474284,0.6389133096221955,0.28125,0.967741935483871,69.3,1.0702530461999158,0.9366666666666666,0.06666666666666667,61.84120559692383,118.77076625823975
3,0.06415500117826366,0.3191329138653894,0.16532258064516128,0.9725609756097561,70.2,1.084643917187812,0.9233333333333333,0.13333333333333333,60.38959527015686,179.1603615283966
4,0.04320442834268174,0.20197547541090077,0.12096774193548387,0.9916666666666667,71.5,1.088784113999397,0.9099999999999999,0.2,59.68437600135803,238.84473752975464
5,0.07544187249075021,0.16007823301779647,0.05090725806451613,1.0,68.8,1.3612512681219313,0.8966666666666666,0.26666666666666666,58.004828453063965,296.8495659828186
6,0.04977656692086208,0.11791076306854525,0.04032258064516129,0.975,71.05,1.5080976921414573,0.8833333333333333,0.3333333333333333,55.924381732940674,352.7739477157593
7,0.04050514808923547,0.04230272206628034,0.007560483870967742,1.0,70.85,1.7155939548734636,0.87,0.4,52.19809913635254,404.9720468521118
8,0.06603911291477421,0.051452699688173106,0.011088709677419355,1.0,63.35,1.8991057352414207,0.8566666666666667,0.4666666666666667,52.37955141067505,457.35159826278687
9,0.054783277934597384,0.029185432820550857,0.00655241935483871,0.9230769230769231,62.25,2.0117991443664307,0.8433333333333333,0.5333333333333333,51.981637477874756,509.3332357406616
10,0.06306796172077977,0.04483938157077758,0.006048387096774193,1.0,65.65,1.6190938817130194,0.83,0.6,51.76806449890137,561.101300239563
11,0.05138208552436423,0.04150502473836945,0.0045362903225806455,1.0,65.25,1.8716822190890237,0.8166666666666667,0.6666666666666666,51.727940797805786,612.8292410373688
12,0.07103403797373176,0.01753337831506806,0.003528225806451613,1.0,65.7,1.9217406038254026,0.8033333333333333,0.7333333333333333,51.21197962760925,664.041220664978
13,0.048703387618109946,0.02723320621636606,0.0030241935483870967,1.0,68.45,1.6441786298676142,0.79,0.8,51.14800715446472,715.1892278194427
14,0.08858775995641706,0.03929773856314921,0.0045362903225806455,1.0,72.05,1.7393926098233177,0.7766666666666666,0.8666666666666667,51.61375284194946,766.8029806613922
15,0.05738459345734408,0.029468904159242106,0.006048387096774193,0.9166666666666666,60.65,2.144616993646773,0.7633333333333333,0.9333333333333333,51.765783071517944,818.5687637329102
16,0.0659248304023828,0.01838735851549333,0.0015120967741935483,1.0,63.45,2.118322135910155,0.75,1.0,50.739118814468384,869.3078825473785
17,0.10147765696409249,0.01159468428381989,0.0010080645161290322,1.0,60.2,2.021826205745576,0.75,1.0,50.37448048591614,919.6823630332947
18,0.04862852686370212,0.01608595840873257,0.0030241935483870967,1.0,63.65,2.0126876982431563,0.75,1.0,50.99660873413086,970.6789717674255
19,0.0317269082522891,0.020489979895853227,0.003528225806451613,1.0,46.1,2.4561857609521773,0.75,1.0,51.71830701828003,1022.3972787857056
20,0.057732274101468764,0.01926574046393075,0.003528225806451613,0.8571428571428571,65.25,1.8295371693278115,0.75,1.0,52.53434419631958,1074.9316229820251
21,0.0967348834852718,0.059154855267655466,0.008064516129032258,1.0,38.15,2.214821537335714,0.75,1.0,52.847134590148926,1127.778757572174
22,0.0611388458562414,0.00910370244133857,0.0020161290322580645,0.75,67.4,1.8088842649308463,0.75,1.0,52.075541734695435,1179.8542993068695
23,0.061329920194111764,0.034499034871377295,0.00655241935483871,1.0,63.95,1.70395462002073,0.75,1.0,52.19592833518982,1232.0502276420593
24,0.07216742584451792,0.03313513334480024,0.005544354838709678,1.0,71.35,1.6655623496524872,0.75,1.0,51.359943866729736,1283.410171508789
25,0.05408092635503459,0.019370006187067877,0.005544354838709678,1.0,64.8,1.8166870361282712,0.75,1.0,51.399813413619995,1334.809984922409
26,0.023186574145990062,0.009242087362274047,0.0020161290322580645,1.0,66.25,1.7520374125904508,0.75,1.0,50.74017333984375,1385.5501582622528
27,0.01842489242581876,0.013141032158126753,0.004032258064516129,1.0,65.5,1.7798092242271182,0.75,1.0,51.19044613838196,1436.7406044006348
28,0.046589597440493714,0.01415401051241544,0.004032258064516129,1.0,67.65,1.7504256859658256,0.75,1.0,51.357988119125366,1488.0985925197601
29,0.024988594126977747,0.005612192645428642,0.003528225806451613,1.0,70.55,1.6528401781642248,0.75,1.0,51.01203989982605,1539.1106324195862
30,0.02215039837943961,0.008636878108635785,0.004032258064516129,0.875,64.1,1.7772261292215377,0.75,1.0,51.159475803375244,1590.2701082229614
